Workload,base.nopam.IPC,4X.50ns.TH70.IPC,speedup,base.nopam.BW,4X.50ns.TH70.BW,base.nopam.power,4X.50ns.TH70.power,8X.50ns.TH70.IPC,2X.50ns.TH70.IPC,4X.70ns.TH70.IPC,4X.50ns.nopam.IPC,4X.10ns.TH70.IPC,1C.base.nopam.IPC,4C.base.nopam.IPC,8C.base.nopam.IPC,1C.4X.50ns.TH70.IPC,4C.4X.50ns.TH70.IPC,8C.4X.50ns.TH70.IPC,base.pccnt.IPC,base.ideal.IPC,base.TH50.IPC,base.TH60.IPC,base.TH70.IPC,4X.50ns.pccnt.IPC,4X.50ns.ideal.IPC,4X.50ns.TH50.IPC,4X.50ns.TH60.IPC,DDR_L2LAT,DDR_PAM_RATIO,CXL_L2LAT,CXL_PAM_RATIO,CXL_LLCLAT,DDR_LLCLAT,BASE.LLC.HITR,CXL.LLC.HITR,PAM_hitrate,on_chip_delay_CXL,CXL_Queuing_delay,DDR_Queuing_delay,PAM.FNR,AS.OCT.BASE,AS.OCT.CXL,AS.QD.BASE,AS.QD.CXL,AS.AST.BASE,AS.AST.CXL,AS.CID.BASE,AS.CID.CXL
mcf,0.7861,1.0874,1.383284569,25.6271,45.0195,14103.28,33621.95,1.1643,0.969,0.9981,1.001,1.2894,2.2644,1.6071,1.0863,1.7952,1.362,1.18695,0.693,0.7986,0.7832,0.7825,0.7775,1.0881,1.0955,1.0615,1.0782,335.6134,0,289.9209,99.797,122.683,157.0787,0.263,0.134,0.89,12.48,32.408,72.284,0.015,26.0,3.82,78.917,19.639,36.85,43.29,0.0,43.29
roms,0.7699,0.895,1.162488635,11.9378,13.5526,8857.65,21183.27,0.9211,0.844,0.8296,0.834,1.0115,1.1832,1.0257,0.8607,1.0584,0.9195,0.92625,0.7824,0.7822,0.7757,0.7777,0.78,0.8942,0.8945,0.8942,0.8949,473.6411,0,318.8287,100.7569,105.828,171.0613,0.201,0.107,0.999,10.632,27.307,89.492,0.0,26.0,2.787,96.68,5.204,39.93,44.64,0.0,44.64
pop2,1.5067,1.6923,1.123183115,15.1713,28.059,10299.9,27215.67,1.7784,1.661,1.5841,1.614,1.9417,2.6076,2.1885,1.8141,2.2608,2.0523,1.87935,1.3376,1.5808,1.4506,1.4415,1.3984,1.694,1.7155,1.6935,1.692,470.3046,0,259.789,101.5265,115.023,217.76,0.584,0.397,0.702,15.781,0.0,66.108,0.002,26.0,10.367,69.855,9.054,20.82,30.135,0.0,30.135
omnetpp,0.4931,0.5243,1.06327317,14.5625,18.7097,10050.12,23462.0,0.5471,0.508,0.4671,0.477,0.6876,1.068,0.7599,0.61665,0.6924,0.5988,0.5571,0.4819,0.512,0.4864,0.4833,0.4818,0.5242,0.5259,0.5242,0.5243,269.5948,0,274.1961,103.2071,93.71,108.9783,0.403,0.241,0.87,13.544,0.0,29.837,0.0,26.0,6.253,35.21,0.0,29.85,37.975,0.0,37.975
xalanc,0.5034,0.4144,0.8232022249,20.8458,19.5418,12139.62,23385.95,0.4238,0.416,0.36,0.367,0.5904,1.7148,1.176,0.59145,1.692,0.4845,0.4341,0.5448,0.5711,0.5038,0.5059,0.5128,0.4142,0.415,0.4144,0.4144,200.6869,0,280.1215,104.244,113.368,76.3783,0.133,0.056,0.953,10.747,39.852,15.076,0.0,26.0,1.459,22.883,12.618,43.375,47.195,0.0,47.195
gcc,0.2698,0.1901,0.704595997,9.6548,6.7958,7740.21,18226.29,0.1918,0.189,0.1629,0.168,0.2866,0.3192,0.2883,0.27915,0.1824,0.1971,0.1938,0.3425,0.3426,0.3176,0.3347,0.3424,0.1901,0.1901,0.1901,0.1901,183.2431,0,283.1317,104.0636,109.943,60.5496,0.002,0.001,1.0,9.016,50.778,1.547,0.0,26.0,0.029,10.533,9.932,49.92,49.945,0.0,49.945
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masstree,0.3630880833,0.50553825,1.392329501,18.94460676,27.38254659,11688.09,27076.21,0.5400383333,0.4599065833,0.4519396667,0.45855875,0.6507635,0.995839,0.6878805,0.483172375,0.713222,0.599799,0.5424605,0.3624241667,0.3705235833,0.3630880833,0.36291775,0.3625653333,0.50553825,0.5059025,0.5053589167,0.5053589167,412.37,0,315.463,105.2963845,106.25,158.333,0.26,0.13,1.0,10.04,34.608,86.42,0.0,26.0,3.38,80.167,5.438,37.0,43.5,0.0,43.5
kmeans,0.5035769167,0.50129925,0.9954770233,33.50600796,33.31717699,16702.95,28856.38,0.5179183333,0.45296075,0.4333991667,0.4395826667,0.7196891667,0.885955,0.7089615,0.60793875,0.553612,0.5382705,0.519931625,0.5035769167,0.503502,0.4903514167,0.4903514167,0.4903514167,0.5012506667,0.5013161667,0.50129925,0.50129925,239.578,0,292.149,105.4027965,116.667,91.667,0.0,0.0,1.0,9.0,57.667,32.667,0.0,26.0,0.0,41.667,16.667,50.0,50.0,0.0,50.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM_STRM,0.178,0.412,2.317,24.488,56.971,0.0,0.0,0.516,0.281,0.385,0.389,0.457,0.85,0.428,0.252,0.654,0.577,0.489,0.179,0.179,0.177,0.178,0.178,0.414,0.414,0.403,0.41,789.605,0,400.763,96.663,126.875,288.229,0.0,0.0,0.0,0.0,55.848,203.462,0.0,26.0,3.757,186.783,24.316,39.375,45.263,0.0,45.263
GM_LIGRA,0.531,0.689,1.296,23.22,38.294,0.0,0.0,0.747,0.59,0.615,0.631,0.882,1.334,0.973,0.715,0.868,0.8,0.744,0.495,0.557,0.538,0.539,0.540,0.692,0.698,0.682,0.686,365.013,0,315.014,93.226,95.833,224.583,0.0,0.0,0.0,0.0,42.349,160.327,0.0,26.0,3.126,145.867,18.86,29.375,33.975,0.0,33.975
GM_PARS,0.811,0.833,1.026,15.74,17.704,0.0,0.0,0.857,0.795,0.746,0.761,1.076,1.623,1.132,0.964,1.038,0.917,0.869,0.835,0.86,0.834,0.840,0,0.833,0.833,0.833,0.833,389.585,0,310.233,102.737,93.21,192.516,0.0,0.0,0.0,0.0,40.131,129.563,0.0,26.0,2.469,124.093,16.615,30.223,34.214,0.0,34.214
GM_SPEC,0.511,0.748,1.462,16.448,30.468,0.0,0.0,0.79,0.63,0.692,0.701,0.885,1.292,0.904,0.643,1.123,0.906,0.817,0.52,0.552,0,0,0,0.748,0.751,0.746,0.747,916.899,0,395.823,95.278,82.407,148.471,0.0,0.0,0.0,0.0,30.478,87.863,0.0,26.0,2.077,89.916,10.031,30.078,34.291,0.0,34.291
GM,0.487,0.674,1.386,20.231,34.459,12178.069,29800.97,0.73,0.571,0.613,0.624,0.832,1.265,0.869,0.631,0.923,0.804,0.735,0.479,0.513,0,0,0,0.676,0.679,0.67,0.673,597.396,0,350.191,96.215,121.7,179.802,0.0,0.0,0.0,0.0,39.422,98.392,0.0,26.0,4.356,102.198,19.746,37.809,43.996,0.0,43.996
